Company Name,Website,Website Title,Relevant,Category,Manufacturer,Brand,Distributor,Probiotics,Fortification,Gut Health,Womens Health,Cognitive Health
Nestle,www.nestle.com,Just a moment...,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Dr. Reddy's Laboratories,www.drreddys.com,Dr. Reddy’s Laboratories – Good Health Can’t Wait,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Coca,colacompany.com,No Title Found,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Pfizer,www.pfizer.com,Pfizer: One of the world's premier biopharmaceutical companies,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
PepsiCo,www.pepsico.com,No Title Found,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Johnson & Johnson,www.jnj.com,Johnson & Johnson: Changing health for humanity,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Danone,www.danone.com,Danone: World food company | Danone Group,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Bayer,www.bayer.com,Site Maintenance,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
General Mills,www.generalmills.com,General Mills: A U.S. based food company. - General Mills,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
GlaxoSmithKline (GSK),www.gsk.com,Home | GSK,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Kellogg’s,www.kelloggs.com,"Error: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Merck & Co.,www.merck.com,Merck | Home,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Unilever,www.unilever.com,Unilever Global: Making sustainable living commonplace | Unilever,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Roche,www.roche.com,Roche - Doing now what patients need next,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Nestle Waters,www.nestlewaters.com,Just a moment...,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Sanofi,www.sanofi.com,A Leading Immunology Healthcare Company | Sanofi,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Mondelez International,www.mondelezinternational.com,"Home | Mondelēz International, Inc.",Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Novartis,www.novartis.com,Novartis,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Kraft Heinz,www.kraftheinzcompany.com,The Kraft Heinz Company,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Eli Lilly and Company,www.lilly.com,Just a moment...,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Tyson Foods,www.tysonfoods.com,Welcome To Tyson Foods,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Teva Pharmaceuticals,www.tevapharm.com,Teva Pharmaceutical Company | Teva Pharmaceuticals,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
"Mars, Incorporated",www.mars.com,"Global Petcare, Food & Nutrition, and Snacking Brands | Mars, Incorporated",Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
AbbVie,www.abbvie.com,Attention Required! | Cloudflare,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Campbell Soup Company,www.campbellsoupcompany.com,403 Forbidden,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Amgen,www.amgen.com,Amgen | A Worldwide Pioneer in Biotechnology,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Conagra Brands,www.conagrabrands.com,Attention Required! | Cloudflare,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
AstraZeneca,www.astrazeneca.com,ERROR: The request could not be satisfied,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Molson Coors,www.molsoncoors.com,Home | Molson Coors,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Boehringer Ingelheim,www.boehringeringelheim.com,No Title Found,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
AB InBev,www.abinbev.com,Home | AB InBev,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
BASF,www.basf.com,BASF – India,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Diageo,www.diageo.com,Attention Required! | Cloudflare,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Procter & Gamble (P&G),www.pg.com,403 Forbidden,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Heineken,www.theheinekencompany.com,Attention Required! | Cloudflare,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Medtronic,www.medtronic.com,Home | Medtronic,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
McKesson,www.mckesson.com,"McKesson | Medical Supplies, Pharmaceuticals Healthcare Solutions",Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
AmerisourceBergen,www.amerisourcebergen.com,AmerisourceBergen | United in our responsibility to create healthier futures,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Cardinal Health,www.cardinalhealth.com,"Error: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
Medline Industries,www.medline.com,medline.com,Yes,F&B,Yes,Yes,No,No,Yes,Yes,No,No
